,Asset_A,Asset_B
2014-01-01,99.77193108147799,99.73112506912702
2014-01-02,98.70120800396515,100.01540877410685
2014-01-03,99.47495347173674,100.56817556100974
2014-01-06,97.48392505867277,99.42045180651594
2014-01-07,98.25697736777593,100.5916840143527
2014-01-08,99.41957965439158,101.31825984488485
2014-01-09,100.2229109061534,100.56046790100316
2014-01-10,103.16287955987715,102.7624792619787
2014-01-13,104.82843037192613,104.53680388500064
2014-01-14,107.09347121361607,105.40527933844959
2014-01-15,105.517733869714,103.88643751809379
2014-01-16,106.41373800838106,103.54461380823128
2014-01-17,107.54592757823022,104.65784169215932
2014-01-20,109.45684789176131,106.66753071818316
2014-01-21,110.87868845984875,107.6947039958696
2014-01-22,111.38244467275149,109.76529318252963
2014-01-23,112.28796869154338,109.68606818336464
2014-01-24,112.02103619284354,108.45264572387127
2014-01-27,112.99639896785807,107.66154240098444
2014-01-28,115.3560886607225,109.87201646298543
2014-01-29,114.58478583685216,109.41356412726077
2014-01-30,115.33145376905891,109.83207949196094
2014-01-31,118.39932281809105,111.83350627540996
2014-02-03,119.08425530060578,113.39600677931634
2014-02-04,119.81390290176064,112.4873705598391
2014-02-05,119.93106859084426,112.29153685431565
2014-02-06,121.18321311898363,113.92761884248634
2014-02-07,119.54976277014045,113.44043488444117
2014-02-10,121.49577446281914,114.84693613127597
2014-02-11,120.95741010154258,115.32669058111836
2014-02-12,122.2801984597209,116.32477950092719
2014-02-13,125.14627772307425,117.67805670865697
2014-02-14,123.61285562739201,117.69757877966424
2014-02-17,123.71315533354077,118.76779225352077
2014-02-18,123.8983021637816,118.37276584875056
2014-02-19,123.0288589453622,119.11987950957787
2014-02-20,122.79960737813545,120.44915843168562
2014-02-21,127.22380163661875,125.1546483504176
2014-02-24,127.70716341808277,125.33432403351257
2014-02-25,129.03390047010902,124.57684981281949
2014-02-26,129.72000111074124,125.57069508179342
2014-02-27,127.93684950528856,123.58399973733324
2014-02-28,130.0642210740324,124.96482832370926
2014-03-03,128.81168537429835,124.2699419152868
2014-03-04,129.9521630635001,125.8071737921197
2014-03-05,129.78327368809477,126.67854051556462
2014-03-06,131.6650603561224,128.03130424232586
2014-03-07,133.6172653845935,128.28229713493698
2014-03-10,133.45988011387044,128.46650321052942
2014-03-11,134.07915111219734,128.81196918901173
2014-03-12,137.3693130019564,131.23444719584262
2014-03-13,138.9546586763527,131.79856584963295
2014-03-14,139.55948589256312,132.7859672206452
2014-03-17,136.52539531064488,130.454539755234
2014-03-18,136.61372000869062,130.50826053758163
2014-03-19,140.68888151087208,133.98751694851026
2014-03-20,139.75533624215112,135.8661315677979
2014-03-21,140.47797279845008,136.8723828357251
2014-03-24,141.72149932717085,136.74096262829403
2014-03-25,139.70149138252538,135.86921220246424
2014-03-26,139.25801115024015,134.5759136001653
2014-03-27,137.9569990600706,132.04904245769882
2014-03-28,136.23073522422467,132.9108964953199
2014-03-31,138.86668188108945,134.6467170889059
2014-04-01,139.48244977743184,134.69854006438266
2014-04-02,142.88875245394925,137.7476717191947
2014-04-03,145.20066152425005,140.3063931721077
2014-04-04,146.65113906021722,143.3501492475789
2014-04-07,148.93493855717452,145.02344507636525
2014-04-08,148.6045481929126,143.4016004292834
2014-04-09,147.9583147282937,144.38800594685068
2014-04-10,151.61728786300873,147.83112780011402
2014-04-11,151.20331625822553,148.44701137586097
2014-04-14,155.09164155164424,150.3233532129234
2014-04-15,154.42286770527684,150.16227300245924
2014-04-16,154.2830202146647,150.5155321471254
2014-04-17,156.1318308249437,152.45900527111093
2014-04-18,156.5504907696921,152.028550451282
2014-04-21,153.0093360679376,149.59239339115257
2014-04-22,155.64044663811762,152.7263966279461
2014-04-23,157.78091245206107,155.61738309482948
2014-04-24,156.45901624552238,153.52885931908162
2014-04-25,154.8025978997559,152.6452248526137
2014-04-28,152.56344540303485,153.01742754514984
2014-04-29,154.09531726192137,153.5315867469709
2014-04-30,157.01929661397966,155.18065044151967
2014-05-01,157.56511355688073,156.14466959071572
2014-05-02,157.07191640379426,156.79542408504
2014-05-05,156.7456043030497,158.37622117725596
2014-05-06,156.2224191607279,161.3964285478553
2014-05-07,156.03735356577621,160.20933364196426
2014-05-08,158.57460221375493,163.20821992247446
2014-05-09,159.20337821952347,164.7765565446081
2014-05-12,158.84920078607442,164.4264617145581
2014-05-13,162.21448322843742,165.59786907839876
2014-05-14,163.2503931591915,167.73512723121314
2014-05-15,164.20110441396548,167.02595928573615
2014-05-16,164.19614258980678,167.60043718018264
2014-05-19,166.66584805999062,170.11455270659465
2014-05-20,167.91671331964827,169.78415685787627
2014-05-21,167.3850888866153,170.12880505100222
2014-05-22,164.9355642246429,169.38867808888065
2014-05-23,169.24030339569848,172.1047966502803
2014-05-26,168.3831165843916,172.09873071497904
2014-05-27,165.35612902159414,174.64346607880302
2014-05-28,163.99708350841775,175.00105954671133
2014-05-29,162.12966998307644,174.1961616217913
2014-05-30,162.94267151888414,176.09565313509216
2014-06-02,165.40207058841918,178.19617880203612
2014-06-03,167.0497351208519,179.96353863570363
2014-06-04,163.79287586855276,174.33618238738757
2014-06-05,163.9510000478243,172.35538070357805
2014-06-06,164.90367177718278,174.81128572511466
2014-06-09,166.0855158273617,174.50941729394415
2014-06-10,167.86058607600899,177.18526188018419
2014-06-11,169.99633737686085,179.56727074584742
2014-06-12,170.97200016199196,179.63378989576694
2014-06-13,166.38353883826403,176.30022472025558
2014-06-16,171.44631922449355,181.3978096414588
2014-06-17,173.03839711669667,184.20321571624723
2014-06-18,175.61228540648875,186.54411713742277
2014-06-19,174.50571658201164,186.84924703296838
2014-06-20,178.2173326893638,189.95265662668587
2014-06-23,180.48609839705054,191.19260009286032
2014-06-24,176.68654560502407,188.29461902481665
2014-06-25,179.7073359989671,192.61906133392327
2014-06-26,174.66256633901284,189.42553138761699
2014-06-27,179.2407855828177,193.17082928559307
2014-06-30,177.40487456036783,190.42962765560554
2014-07-01,176.4933352810803,190.8022411208993
2014-07-02,179.40022987716702,193.58088319654905
2014-07-03,188.76432335404527,200.9824718423041
2014-07-04,191.04677912494353,201.236301483678
2014-07-07,188.70592395688388,196.89880951149846
2014-07-08,190.43452519248638,198.78812743450538
2014-07-09,188.58400146781045,194.93778599201895
2014-07-10,186.38581762715447,193.01662926113852
